,SV_0,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,SV_7,SV_8,SV_9,SV_10,year
21,"('xml', 0.004804408839236946)","('image', 0.0022638079288830495)","('lxml', 0.0009687608141130016)","('scipy', 0.0047935244740294775)","('image', 0.002311029984390582)","('file', 0.013324024570294826)","('django-models', 0.0024840889100584906)","('user-interface', 0.0028555521093715404)","('file', 0.0095942660019931)","('json', 0.01829958519936034)","('google-app-engine', 0.003435110083940332)",2010
22,"('html', 0.004729740960447962)","('file', 0.001862789499947108)","('django-forms', 0.0007807617511969315)","('ruby', 0.004523417850392616)","('linux', 0.0022940970376065517)","('python-imaging-library', 0.011823526827260025)","('class', 0.002382941648138348)","('sqlite', 0.002847064389171459)","('subprocess', 0.008745326463960305)","('sqlite', 0.015590654646771392)","('lxml', 0.001683977185341065)",2010
23,"('pylons', 0.004612397524651961)","('import', 0.0016169114786115464)","('sqlite', 0.0006597203969839464)","('database', 0.004371116943784219)","('sqlite', 0.0018676140554410824)","('matplotlib', 0.010993378206232855)","('pylons', 0.002318406215018445)","('json', 0.002794569894091997)","('database', 0.008014210277453956)","('twisted', 0.015211405174261769)","('django-forms', 0.001416514939055159)",2010
24,"('javascript', 0.004550040982437492)","('multithreading', 0.001316026031917716)","('unicode', 0.0005606816014749001)","('oop', 0.0043469125347464135)","('sql', 0.0018112583470046711)","('apache', 0.010953882935734864)","('sqlite', 0.0022222771667490373)","('database', 0.002708991116165349)","('unit-testing', 0.007526450053406108)","('python-3.x', 0.013560858756361784)","('datetime', 0.0007079295209222458)",2010
25,"('twisted', 0.0044745402660319785)","('ruby', 0.0010663869570329938)","('parsing', 0.0003152178304516002)","('google-app-engine', 0.0031520739047490153)","('django-templates', 0.0017949711061165316)","('twisted', 0.010721675776260417)","('tkinter', 0.001966133292731204)","('ruby', 0.0025686526708566214)","('module', 0.007377577685086953)","('html', 0.012642703611601892)","('string', 0.0005748535470728594)",2010
26,"('matplotlib', 0.004470869294022019)","('pylons', 0.0009632447939471431)","('macos', 0.00029336433210707584)","('c++', 0.00271477622840538)","('urllib2', 0.0015831345409383912)","('module', 0.010511619308700556)","('django', 0.001464518721849586)","('javascript', 0.0025681903480644953)","('javascript', 0.00666026454998463)","('tkinter', 0.012609680935174917)","('gtk', 8.662428271463576e-05)",2010
27,"('unicode', 0.004383417625734891)","('regex', 0.0006896640187083032)","('user-interface', 0.0002544313094516036)","('django', 0.0027006699312832204)","('sqlalchemy', 0.0014758254222935543)","('pyqt4', 0.008830917696278107)","('http', 0.001455656193587315)","('module', 0.0022379376952860355)","('parsing', 0.0063681287977411585)","('import', 0.010396146787426244)","('python', 0.00010807263465583208)",2010
28,"('file', 0.004102758411127724)","('function', 0.00037105658471687196)","('module', 0.0002156789943434024)","('sql', 0.0021502339211873964)","('http', 0.0014359165321425763)","('sockets', 0.008288430601373473)","('sql', 0.0013659904734624525)","('google-app-engine', 0.0022218780667621757)","('python-3.x', 0.005613433637034249)","('sql', 0.010345377322203385)","('pygtk', 0.00038338406882247405)",2010
29,"('unit-testing', 0.003993297316585886)","('dictionary', 0.0003340319731237151)","('python-imaging-library', 0.0001942933004797372)","('lxml', 0.0019204879841312138)","('sockets', 0.0010888116289238595)","('ruby', 0.008136014383434368)","('macos', 0.0010155708955529438)","('datetime', 0.001853309220987614)","('sqlite', 0.005484560009601801)","('pyqt4', 0.008099169145109357)","('file', 0.0005615883416810515)",2010
30,"('class', 0.0038930093868847476)","('csv', 0.00030832801550148044)","('twisted', 0.00017785070094833034)","('multithreading', 0.0015740147662836994)","('logging', 0.0010644503907293905)","('mysql', 0.008010456357964199)","('sqlalchemy', 0.0010043155801313045)","('qt', 0.001707430746733109)","('user-interface', 0.005210642554271066)","('module', 0.007881356414304314)","('html', 0.0006221356028765727)",2010
31,"('parsing', 0.003887827874366713)","('module', 0.0002476938777336797)","('algorithm', 0.00011479245573750097)","('javascript', 0.0013104182435853967)","('subprocess', 0.000920821604317057)","('pylons', 0.006944249964050284)","('urllib2', 0.000625880147798118)","('apache', 0.001494917166837087)","('sql', 0.004862656264381032)","('oop', 0.007759858659137062)","('matplotlib', 0.00073129275844315)",2010
32,"('performance', 0.003787026956888633)","('oop', 0.00024231329372192801)","('oop', 9.260025732781295e-05)","('php', 0.001202118240395034)","('python-imaging-library', 0.00077163702480193)","('sqlite', 0.005918392529319989)","('django-admin', 0.000509628227407734)","('file', 0.001383113664142786)","('logging', 0.004574927666513368)","('file', 0.007014451140648366)","('apache', 0.0009508290396865802)",2010
33,"('database', 0.0037086627023183508)","('java', 0.0002293521029849776)","('class', 4.600588951906545e-05)","('django-admin', 0.0006543204853227684)","('tkinter', 0.00036984753146689434)","('arrays', 0.005808870416838515)","('pyqt', 0.00038264046398757976)","('unit-testing', 0.0012852499272057345)","('xml', 0.004377374817809334)","('csv', 0.006584881410117982)","('function', 0.0010296337101425752)",2010
34,"('sockets', 0.0036190679576860196)","('linux', 0.0001721972502955573)","('ruby', 0.0002175891354042011)","('c#', 0.0006258873714946045)","('function', 0.00027717988427421875)","('image', 0.005782958631908915)","('qt', 0.00035721364792)","('function', 0.0012221707050946926)","('http', 0.004315907063996102)","('pylons', 0.00651984380156273)","('django-templates', 0.001141788708890916)",2010
35,"('subprocess', 0.0034543399625677714)","('c#', 0.00011072057993785362)","('arrays', 0.00035414167842628963)","('image', 0.0005104815666475604)","('qt', 0.00015632068167583182)","('import', 0.005765547691910134)","('user-interface', 0.00034189941435820714)","('tkinter', 0.0010487347329510913)","('algorithm', 0.004268999063221027)","('class', 0.006323911936605149)","('http', 0.001395988392273161)",2010
36,"('import', 0.0033732450033780365)","('xml', 6.112679615631644e-07)","('php', 0.0005231042959760831)","('datetime', 0.00019602638069986575)","('apache', 0.0005201738059593078)","('csv', 0.00446321730383107)","('module', 0.00014596320679233828)","('mysql', 0.0008965329212143151)","('sqlalchemy', 0.004195409090064904)","('lxml', 0.006156868085281965)","('urllib2', 0.0014282729940742478)",2010
37,"('algorithm', 0.0033673551179672634)","('performance', 4.200346522939413e-05)","('qt', 0.0005527814094129025)","('django-templates', 0.0001596372219438238)","('pyqt4', 0.0007783590058496152)","('c#', 0.004406898765897754)","('import', 8.351248075176652e-05)","('html', 0.0005240717393763909)","('pylons', 0.0037300197930918814)","('image', 0.006006363689462047)","('unit-testing', 0.0014738639662205308)",2010
38,"('pyqt', 0.00330698487625157)","('class', 6.702112609366694e-05)","('c#', 0.0006012619452595187)","('django-forms', 0.00026182701773389623)","('module', 0.0008158306912469547)","('google-app-engine', 0.0037683589433930714)","('django-forms', 4.949988368723032e-05)","('logging', 0.00039313798718439066)","('python-imaging-library', 0.0030545097370432072)","('logging', 0.00468756384679564)","('django-admin', 0.0018077557222969734)",2010
39,"('ruby', 0.003290225165962571)","('urllib2', 0.00010615750749720957)","('pyqt4', 0.0006859021100151704)","('logging', 0.00048483492258069913)","('import', 0.0009754775592331084)","('lxml', 0.003541539761319639)","('unit-testing', 1.415399379895853e-05)","('import', 0.0003295145473843405)","('datetime', 0.002848662170745189)","('unicode', 0.004670296868072993)","('django', 0.002708295570875572)",2010
40,"('pygtk', 0.0032300955405888884)","('sqlalchemy', 0.0001989955480893405)","('gtk', 0.0006945668716695946)","('http', 0.0005209885174661664)","('gtk', 0.001048086551839831)","('unit-testing', 0.003374116188564685)","('pyqt4', 0.0002954237376137977)","('python-3.x', 0.00029088689337456244)","('csv', 0.0023358158873594687)","('subprocess', 0.004146453413616243)","('logging', 0.0028379219187252384)",2010
41,"('user-interface', 0.00319314290128306)","('subprocess', 0.000251167273807221)","('file', 0.000961881528875704)","('python-imaging-library', 0.000552420562708581)","('pyqt', 0.0010885201346462706)","('urllib2', 0.003270093734508983)","('google-app-engine', 0.00031732682278325184)","('pyqt4', 0.00023167208949124302)","('json', 0.001648717154743881)","('http', 0.0031687503725871917)","('subprocess', 0.0029808930586089468)",2010
42,"('module', 0.0031462866135331525)","('lxml', 0.00033677677792316653)","('sockets', 0.0009807828019237827)","('urllib2', 0.0007431037943825243)","('user-interface', 0.0012158538068262497)","('javascript', 0.0030105824983195128)","('python-imaging-library', 0.00034506774394922005)","('gtk', 0.0002170889030495861)","('import', 0.001352713814738755)","('python-imaging-library', 0.0028512136715446324)","('python-imaging-library', 0.003576318523398854)",2010
43,"('datetime', 0.0031418580681755962)","('macos', 0.0004034533954731821)","('pyqt', 0.0010173272675215426)","('sockets', 0.0007706072241695489)","('unit-testing', 0.0012699186615477169)","('algorithm', 0.002872324743791626)","('twisted', 0.00035168827999273707)","('django-admin', 0.00016887779721388302)","('function', 0.0007430764207764264)","('urllib2', 0.0026681109498960243)","('module', 0.00506280015117431)",2010
44,"('sql', 0.0031007193597306104)","('twisted', 0.0004619976674239992)","('scipy', 0.001039563999489539)","('pylons', 0.0008625710020646867)","('django-forms', 0.0013790023771300952)","('http', 0.0025303128165318715)","('apache', 0.0004964727327294415)","('django-templates', 0.00016094101302152955)","('image', 0.0007170110228568224)","('function', 0.0022700918077040305)","('image', 0.005079814594420438)",2010
45,"('django-templates', 0.0030950453162324476)","('parsing', 0.0007081691016512398)","('pygtk', 0.0010494551796174792)","('apache', 0.0009238830647460635)","('pygtk', 0.0015211396585674795)","('parsing', 0.002376073769034868)","('c#', 0.0005336110511785369)","('oop', 4.397211177033927e-05)","('urllib2', 0.000293901254487184)","('windows', 0.0022359864985510847)","('pyqt4', 0.005480689121866023)",2010
46,"('urllib2', 0.0030897927221716754)","('matplotlib', 0.0007281126134378065)","('subprocess', 0.0011715337663089165)","('qt', 0.0009830596314564894)","('django-admin', 0.0015712362955929912)","('oop', 0.002249487173164269)","('oop', 0.0006367037904519667)","('pygtk', 0.00012644513908781872)","('string', 0.0002729314563185842)","('unit-testing', 0.0019046151363079564)","('django-models', 0.005992301351394409)",2010
47,"('sqlite', 0.0030319261777221793)","('qt', 0.000895994244066247)","('wxpython', 0.0012253686818839646)","('sqlalchemy', 0.0010847129902217764)","('twisted', 0.0017104291487417805)","('list', 0.002184895038136958)","('gtk', 0.0007473807347835499)","('django-models', 0.0002015922798724746)","('arrays', 8.284718101068825e-05)","('apache', 2.6521124013200736e-05)","('import', 0.006559120894432545)",2010
48,"('django-forms', 0.0030151485499042585)","('pyqt4', 0.0009099761309061713)","('dictionary', 0.0013150822669827007)","('wxpython', 0.0011286612045328008)","('oop', 0.00175755243039305)","('json', 0.001718216707079799)","('logging', 0.0007805392271437604)","('xml', 0.00030580649716543257)","('oop', 0.00030934233582024205)","('django-forms', 0.0006845185524644547)","('tkinter', 0.007898416629559271)",2010
49,"('json', 0.002947704048204016)","('gtk', 0.0010726434804356115)","('mysql', 0.0013369332054483506)","('pyqt4', 0.0011652050825546089)","('macos', 0.0020773085108666198)","('html', 0.0014764641779508036)","('pygtk', 0.0008373040452154211)","('django-forms', 0.0003085750221261223)","('class', 0.0009176689620887871)","('datetime', 0.0007347931351460858)","('algorithm', 0.009142730993489601)",2010
50,"('apache', 0.002920852608832966)","('algorithm', 0.0011022927040241046)","('sql', 0.0014229077111762533)","('module', 0.0012741701192944667)","('django', 0.002117983374896784)","('database', 0.001076269957205278)","('multithreading', 0.0009775382785712078)","('lxml', 0.0005361313878129437)","('lxml', 0.0009591268558693297)","('django', 0.0008473511205505727)","('twisted', 0.009796951806747896)",2010
51,"('c#', 0.002866092117773737)","('pygtk', 0.001277277720874438)","('matplotlib', 0.0016538192110084808)","('import', 0.0013332118249276131)","('class', 0.002208141598083413)","('logging', 0.0009529539489096673)","('python', 0.0018076155477893662)","('http', 0.0005656471208898423)","('django', 0.0010883697779885612)","('pygtk', 0.0018654813087830013)","('performance', 0.010499417970159169)",2010
52,"('django-admin', 0.002846513863168835)","('user-interface', 0.0013396719516406764)","('pylons', 0.0017321003922781864)","('matplotlib', 0.0013635389895879434)","('matplotlib', 0.0031006836241947947)","('django', 0.0008872239573296595)","('django-templates', 0.002189352683034754)","('sql', 0.0006437325454409192)","('google-app-engine', 0.0013874046517792105)","('django-admin', 0.0019050364389969071)","('sockets', 0.01206860605107863)",2010
53,"('http', 0.002788203427993679)","('arrays', 0.0013439010345648872)","('python-3.x', 0.0018905390363850414)","('subprocess', 0.001379356653066711)","('scipy', 0.0033216730457592825)","('class', 0.0005479917548759095)","('subprocess', 0.002358977162048064)","('sockets', 0.0009630485730601056)","('django-admin', 0.0015323369553902639)","('gtk', 0.00197172880644959)","('macos', 0.01362567926403549)",2010
54,"('scipy', 0.002666471105121746)","('scipy', 0.001423440908056833)","('sqlalchemy', 0.0019008349629699574)","('gtk', 0.0013983461086352715)","('wxpython', 0.003456487841340391)","('function', 0.00015492398294834897)","('lxml', 0.005976387801121194)","('urllib2', 0.001464605165569427)","('matplotlib', 0.0016455303162888416)","('django-templates', 0.0022305282723003757)","('user-interface', 0.014155097383546832)",2010
55,"('arrays', 0.0026030916379492066)","('windows', 0.001426741092494421)","('linux', 0.0019073774031707982)","('unit-testing', 0.001497486612923364)","('algorithm', 0.004099258537052042)","('sql', 8.25054252698923e-05)","('php', 0.006129058549717925)","('sqlalchemy', 0.0017096933357922464)","('list', 0.0016480448017276161)","('regex', 0.0026854159462479654)","('ruby', 0.01902958497745305)",2010
56,"('python-imaging-library', 0.002474820163759189)","('pyqt', 0.001427791857720679)","('tkinter', 0.0020153945371439797)","('pyqt', 0.0017547105207028177)","('multithreading', 0.005225247865806781)","('datetime', 0.00017651536456509223)","('javascript', 0.008384079743477314)","('class', 0.0018468016567093348)","('django-forms', 0.0022752350937789404)","('google-app-engine', 0.005871388045786449)","('javascript', 0.019810478682317074)",2010
57,"('image', 0.002415531060781539)","('sockets', 0.0014973995685235645)","('c++', 0.0021530304684563317)","('user-interface', 0.0018400515213891598)","('performance', 0.0052537720920049205)","('xml', 0.0002471733614923116)","('xml', 0.00838936173742887)","('pylons', 0.001966951906094602)","('django-templates', 0.002431208582722835)","('arrays', 0.007865141930311039)","('qt', 0.020149643051648822)",2010
58,"('oop', 0.002363466693855644)","('python-3.x', 0.0022567344257271174)","('apache', 0.002423791554044173)","('pygtk', 0.0020014233104583834)","('google-app-engine', 0.005510348067540904)","('sqlalchemy', 0.0012570844034047943)","('dictionary', 0.0096961130317222)","('twisted', 0.0021551865675388812)","('unicode', 0.00346613906828247)","('python', 0.010370558710831035)","('pyqt', 0.02088291522579067)",2010
59,"('lxml', 0.0023470389903630018)","('string', 0.002437320851322848)","('numpy', 0.0029662447307098726)","('django-models', 0.0023176417498524168)","('django-models', 0.005855554975073606)","('django-templates', 0.001342700599900326)","('ruby', 0.01129452479546911)","('subprocess', 0.0023920029570390685)","('scipy', 0.005234196286135577)","('django-models', 0.010492190301160689)","('wxpython', 0.025345935566871716)",2010
60,"('function', 0.0023294060880085505)","('tkinter', 0.00296442409770139)","('django-admin', 0.0037245687239083817)","('twisted', 0.0023270371859169647)","('arrays', 0.006974422630607021)","('django-forms', 0.0013967597242925314)","('html', 0.018368869367733708)","('unicode', 0.004194657449397071)","('python', 0.009193556044811627)","('matplotlib', 0.013362054123190852)","('multithreading', 0.038106562964756896)",2010
61,"('logging', 0.0022789345016138527)","('wxpython', 0.0029966645606281437)","('windows', 0.003990688709607435)","('tkinter', 0.003168956111821967)","('windows', 0.008907952564937871)","('django-admin', 0.0014687156696892266)","('parsing', 0.019078294894893186)","('python', 0.00992678276491224)","('django-models', 0.010200058079279692)","('scipy', 0.027168241165428243)","('c#', 0.04758736791923392)",2010
62,"('pyqt4', 0.0022385101275994644)","('c++', 0.003111262747418121)","('list', 0.004612755446636923)","('macos', 0.003596267605984841)","('python', 0.010767111503170565)","('dictionary', 0.00289626605704002)","('linux', 0.019128881711622157)","('linux', 0.02002685375857476)","('numpy', 0.010693594976526818)","('string', 0.0396260102062731)","('php', 0.056462212714538634)",2010
63,"('csv', 0.0022106066270605415)","('numpy', 0.003950883225159312)","('django-models', 0.009725776196986249)","('linux', 0.006547844605297106)","('numpy', 0.01161133040586524)","('regex', 0.00477631931967093)","('windows', 0.02076031057512251)","('list', 0.022581273848605435)","('regex', 0.011911321731235172)","('numpy', 0.07536449328366991)","('list', 0.16882775607050618)",2010
64,"('gtk', 0.0021475767334770118)","('list', 0.004417066674761485)","('python', 0.024520243262554624)","('windows', 0.006710113522626231)","('dictionary', 0.045113091303100206)","('django-models', 0.006736140705465483)","('list', 0.14193567889969488)","('windows', 0.038964134888809565)","('tkinter', 0.03425638490699627)","('list', 0.10012803511973084)","('java', 0.22724586455585977)",2010
65,"('qt', 0.0018258101155890147)","('python', 0.09684063197614136)","('django', 0.040199900424718084)","('python', 0.017347237573490274)","('list', 0.22951185376291197)","('python', 0.014691675092892615)","('regex', 0.5131804821885386)","('string', 0.03906823900492287)","('windows', 0.2692660471352588)","('linux', 0.239795367875346)","('c++', 0.43620836361487936)",2010
0,"('python', 0.99392216082036)","('django', 0.987107200178116)","('google-app-engine', 0.9949136220553416)","('list', 0.8750486723499442)","('numpy', 0.8792511843297469)","('regex', 0.9513153770484843)","('string', 0.9304644795025819)","('matplotlib', 0.8657282409517013)","('python-3.x', 0.636100123226913)","('windows', 0.6469008643794647)","('dictionary', 0.9464199249591985)",2011
1,"('django', 0.09589600495116099)","('django-models', 0.09408766140105676)","('google-cloud-datastore', 0.0814268455876739)","('numpy', 0.33635872395469)","('scipy', 0.20412406436679245)","('string', 0.2486451446812757)","('python-3.x', 0.05487115383468077)","('python-3.x', 0.31859521731445195)","('windows', 0.5377714021466459)","('linux', 0.3264124491515271)","('windows', 0.07671085917649677)",2011
2,"('google-app-engine', 0.023964804517756687)","('django-forms', 0.03328058653871194)","('html', 0.01526114248070939)","('string', 0.2199521670567279)","('matplotlib', 0.18904132602836904)","('parsing', 0.03991859269328268)","('unicode', 0.04182639385427764)","('windows', 0.26566887874724704)","('linux', 0.23182905507957113)","('c++', 0.06882984540916032)","('linux', 0.0484725239331687)",2011
3,"('list', 0.015471653385351105)","('django-admin', 0.033029259731084164)","('javascript', 0.014522387901409325)","('dictionary', 0.19864578220821205)","('arrays', 0.12430074285505369)","('numpy', 0.03598279318365906)","('file', 0.03136482149483597)","('linux', 0.1188688037811922)","('tkinter', 0.08794165398153579)","('list', 0.06457158039963577)","('json', 0.033480776142084466)",2011
4,"('numpy', 0.014641364982809877)","('django-templates', 0.031511164596326864)","('facebook', 0.013139474810850144)","('arrays', 0.08672613290753672)","('performance', 0.025561253741892005)","('python-3.x', 0.03565862253112732)","('windows', 0.0309675013871848)","('wxpython', 0.08323171500237314)","('dictionary', 0.08474658673265276)","('macos', 0.039395673596540594)","('string', 0.029898991393275794)",2011
5,"('regex', 0.013077025578305528)","('google-app-engine', 0.02971761273918278)","('java', 0.012405363881943568)","('regex', 0.07448943808939981)","('image-processing', 0.021798557228844745)","('unicode', 0.02878236933705446)","('function', 0.019943973701062212)","('tkinter', 0.08223550281137705)","('numpy', 0.07258214914500473)","('java', 0.03885137910269091)","('matplotlib', 0.02593222062767192)",2011
6,"('string', 0.011131826008772182)","('mysql', 0.023027866463971758)","('json', 0.011747277162359328)","('scipy', 0.07351033593476626)","('python-imaging-library', 0.014870431606035737)","('html', 0.024760053902706455)","('algorithm', 0.018814054488052113)","('multithreading', 0.05960946813007009)","('c++', 0.07048601940784491)","('subprocess', 0.03503690180026331)","('csv', 0.022468769694164253)",2011
7,"('matplotlib', 0.009371177747902222)","('django-views', 0.022955969014400904)","('image', 0.01034262963914924)","('matplotlib', 0.06093130631845524)","('linux', 0.0115978901061092)","('xml', 0.02134094135050365)","('text', 0.017078983005031367)","('pyqt', 0.04908733823382399)","('multithreading', 0.06993081440806646)","('wxpython', 0.0278112066897708)","('c++', 0.02179297765207852)",2011
8,"('python-3.x', 0.009068078023003573)","('database', 0.017286065719915384)","('email', 0.009718242639253485)","('tuples', 0.04490352003650926)","('math', 0.01095092032644211)","('perl', 0.018911941776296674)","('parsing', 0.01645920247200439)","('macos', 0.04421110852549827)","('subprocess', 0.046123254726463156)","('string', 0.01947798547609672)","('file', 0.020933637055355607)",2011
